world,world_title,entry_role,english_gloss,saulteau_source_form,source_category,firstvoices_entry_url,related_image_available,source_acknowledgement
6,"Home, Camp and Craft",object,shoes,maskisina,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/0df919f5-6542-40e8-b8b7-8d751be71494,yes,Source: Terry Badine
6,"Home, Camp and Craft",object,Shoes,Māskisina,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/04cd2871-0c25-4324-89bc-a9cd10d6625b,yes,Source: Judy Cameron
3,Animal Trail,living being,A bear cub.,Maskosis,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/3adf4758-39ac-418e-94a6-9815e31428f4,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,bears,Māskwak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/5ba0509d-f64c-4ef1-a4a4-5754fcf5c623,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,A small sheep,Māyacihkos,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/da661c29-7486-49dc-8009-6982ec150666,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Sheep skin,Mayahtihkowayan,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/18199a57-b4e1-49f9-96f2-d76b230d23c2,yes,Source: Judy Cameron
3,Animal Trail,living being,Goats,Māyatihkwak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/93e71809-6df8-4b10-8aa4-d1712d232762,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,soup,mēcimāpoy,Dwelling,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/1ef22509-fb05-468d-a4e0-400ed0fa4cde,yes,Source: Amy Ann Gauthier
5,Berry Meadow and Garden,object,Grape,Mēnisihkān,Food Plants,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/ac48943d-7875-496b-ac92-e030099da08c,no,Source: Judy Cameron
3,Animal Trail,living being,Coyotes,Mescacākansak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/90aa0d3e-5f28-440f-bb7e-27fffe50b55f,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Third person plays building,Mētāwew’  kamik,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/62880c60-b370-4f89-912d-9837276d13e3,yes,Source: Judy Cameron
4,Wetlands and Sky,land/season,Spring,mēyoskamin,Seasons,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/b4fa42bd-8b1c-4635-93a3-a03392a065e9,yes,Source: Judy Cameron
5,Berry Meadow and Garden,object,A red beet,Mihkoskātāsk,Vegetable,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/e2977572-bad7-47dd-9ae0-db12be862651,no,Source: Judy Cameron
1,Water and Turtle Island,land/season,Red watery liquid,Mihkwāpoy,Natural Resources,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/f76d1ad9-40a5-4076-86fa-3e6d9d491dbb,yes,Source: Judy Cameron
2,Forest and Meadow,land/season,A piece of firewood.,Mihtih,Trees,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/6dfd626f-3b12-44fd-acbf-bf05d13e6b44,yes,Source: Judy Cameron
4,Wetlands and Sky,land/season,February - Eagle Moon,Mikisowipēsim,Seasons,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/5f0ce8de-38b3-4fd4-9570-de4881c4cf8b,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,More than one cup - plural,Minēkwācikana,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/20d16c33-bd58-496d-b43d-7f12264ca0cf,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A cup,Minihkwācikan,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/f53fca53-4ca4-4073-a384-aeb71f89cfbb,yes,Source: Judy Cameron
3,Animal Trail,living being,Cats,Minōsak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/5b979d7e-b15a-471a-9079-4b41eee9d175,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,A kitten,minōsis,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/b9db9d1b-dd4e-42d3-a561-98ab36edbe66,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,Cougars,Misipisiwak,Mammals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/68580be0-cad7-494c-9382-a22afe11bbf9,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,land/season,A log or plank,Misiweyahtik,Natural Resources,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/b45bb724-bcad-410c-9fc2-1e2c94bf74f9,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,Jackets,Miskotākaya,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/d020d668-1e91-467b-9a03-6040701a7f25,yes,Source: Judy Cameron
4,Wetlands and Sky,land/season,Ice,Miskwamiy,Weather,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/e0fe16fe-4024-4d7f-99b3-5e62e5ba31a2,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,living being,Whale,Mistamēk,Mammals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/489f17a4-9bf7-4dc8-87b2-3d8ad07e64e8,yes,Source: Judy Cameron
